Phylum,Class,Order,Family,Genus,Species,B8-A,B8-B,B8-C,BA12-A,BA12-B,BA12-C,BB18-A,BB18-B,BB18-C,BL-A,BL-B,BL-C,FD10-A,FD10-B,FD10-C,FD14-A,FD14-B,FD14-C,FD6-A,FD6-B,FD6-C,FRLK-A,FRLK-B,FRLK-C,GN12-A,GN12-B,GN12-C,GW16-A,GW16-B,GW16-C,GW3-A,GW3-B,GW3-C,GYPL-A,GYPL-B,GYPL-C,H11H-A,H11H-B,H11H-C,H24H-A,H24H-B,H24H-C,H7H-A,H7H-B,H7H-C,HW-A,HW-B,HW-C,PC6-A,PC6-B,PC6-C,PF4-A,PF4-B,PF4-C,PG11-A,PG11-B,PG11-C,PMW-A,PMW-B,PMW-C,SHPL-A,SHPL-B,SHPL-C,WABL-A,WABL-B,WABL-C,Control
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,unclassified_Serendipita,0,0,0.011563698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008774429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000684676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,unidentified,0.011800405,0.017934355,0.014941857,0.020145145,0.032742402,0.003517274,0,0.016704124,0.0061516,0.012799456,0.033348254,0.000236165,0,0.008117487,0,0,0,0,0.000214961,0,0,0,0,0,0.012421581,0,0.001150748,0,0.000874067,0.006242548,0.003970072,0.001920337,0,0,0,6.32E-05,0.001001703,0,0.000148507,0,0,0,0,0,0,0.000123762,0,0,0,0.001867297,0.001083675,0.007967081,0,0.007918423,0.001391869,0.01090595,0,0.014207428,0.006442455,0.001584409,0,0.000449388,0,0,0,0,0.000122481
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,unclassified_Serendipitaceae,unclassified_Serendipitaceae,0,0.007222877,0,0,0.013386397,0,0,0.001579299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011395362,0.004541467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00016488,0,0,0.000199774,0,0,0
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,unidentified,unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000215959,0,0,0,0,0,0,0.00018659,0,0,0,0
Basidiomycota,Agaricomycetes,Sebacinales,unclassified_Sebacinales,unclassified_Sebacinales,unclassified_Sebacinales,0.000876601,0.000786164,0.001364256,0.007945445,0.001537627,0.001406909,0.011833515,0.000121485,0.000886248,0.12629552,0.015778872,0.014327324,0.000149738,0.006320486,0.003312274,0,0.000951281,0,0.001898825,0,0.002663742,0.022056208,0.00142442,0.006450947,0.006587202,0.010439618,0,0,0.000605123,0.003998036,0.002443121,0,5.84E-05,0.004600996,0.03587235,0.001894537,0.001051788,0,0,9.52E-05,0.00134839,0.000193019,0,0,0,0.028341584,0.047532952,0.019636964,0,0,0.000232216,0,0.000143236,0.003873761,0.002145798,0.009340244,0.0006879,0.005547663,0.011629177,0.007922047,0.037922506,0.021121222,0.009142928,0.02057668,0.025498466,0.011109182,0.001592259
Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,Sebacinales_sp,0,0,0.000259858,0.00538038,0,0,0.007140914,0,0,0,0,7.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561735,0,0.000332956,0,0,0
Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_corticioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002950877,0
Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607533,0
Basidiomycota,Agaricomycetes,unclassified_Agaricomycetes,unclassified_Agaricomycetes,unclassified_Agaricomycetes,unclassified_Agaricomycetes,0,0.000245676,0,0.000625626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154823,0.002321205,0.003777148,0.001093211,0,0.000403416,0.00287578,0,0.000309732,0,0.000226278,0,0,0,0.000360707,0,0,0,0,0,0,0,0,0.000583226,0,0,0.000373459,0,0,0,0,0,0,0,0,0,0,0,0.000393214,0.006530663,0,0,0,0.000183722
Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,0,0,0,0,0,0,0,0,0,0,0.008952551,0,0,0,0,0,0,0,3.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000309732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000524904,0.000330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Bensingtonia,Bensingtonia_ciliata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000617908,0,0,0,0,0
Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium_hasegawianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001349746,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Cystobasidiomycetes,unidentified,unclassified_unidentified,unclassified_unidentified,unclassified_unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000632911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_arunalokei,0,0,0,0,0,0,0,0,0,0,0,0.00251909,0.00094834,0,0,0,0,0,0,0,0.003917267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025388,0,0,0.000553618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_globosa,0,0,0.000454752,0,0,0.00336095,0,0,0.000625586,0,0,0,0,0,0.001288106,0,0,0,0,0,0.00229813,0,0,0,0.000878294,0,0.00023015,0.00043956,0.000268944,0.000210423,0,0.000247785,0,0,0,0,0,0,0,0,0,0,0.00094115,0.002600872,0.000198754,0.000680693,0,0,0,0,0,0,0,0,0.000463956,0.003995249,0.00165096,0,0,0,0,0.001123469,0,0,0.00086273,0,0.004899259
