ID	Sample_name	Row	Col	Population	Harv_2023_1	Harv_2023_2	Harv_2024_1	Harv_2024_2	Sample_id
WC16-051	WC16051	112	7	DiversityPanel	NA	NA	NA	NA	WC16051   112,7
WC16-054	WC16054	112	8	DiversityPanel	NA	NA	NA	NA	WC16054   112,8
WC16-056	WC16056	112	9	DiversityPanel	NA	NA	NA	NA	WC16056   112,9
WC16-058	WC16058	112	11	DiversityPanel	NA	NA	NA	NA	WC16058   112,11
WC16-059	WC16059	112	12	DiversityPanel	NA	NA	NA	NA	WC16059   112,12
WC16-060	WC16060	112	13	DiversityPanel	NA	NA	NA	NA	WC16060   112,13
WC16-061	WC16061	112	14	DiversityPanel	NA	NA	NA	NA	WC16061   112,14
WC16-062	WC16062	112	15	DiversityPanel	NA	NA	NA	NA	WC16062   112,15
WC16-063	WC16063	112	16	DiversityPanel	NA	NA	NA	NA	WC16063   112,16
WC16-066	WC16066	112	17	DiversityPanel	NA	NA	NA	NA	WC16066   112,17
WC16-067	WC16067	112	18	DiversityPanel	NA	NA	NA	NA	WC16067   112,18
WC16-068	WC16068	112	19	DiversityPanel	NA	NA	NA	NA	WC16068   112,19
WC16-070	WC16070	113	1	DiversityPanel	NA	NA	NA	NA	WC16070   113,1
WC16-071	WC16071	113	2	DiversityPanel	NA	NA	NA	NA	WC16071   113,2
WC16-072	WC16072	113	3	DiversityPanel	NA	NA	NA	NA	WC16072   113,3
WC16-073	WC16073	113	4	DiversityPanel	NA	NA	NA	NA	WC16073   113,4
WC17-001	WC17001	113	6	DiversityPanel	NA	NA	NA	NA	WC17001   113,6
WC17-002	WC17002	113	7	DiversityPanel	NA	NA	NA	NA	WC17002   113,7
WC17-003	WC17003	113	8	DiversityPanel	NA	NA	NA	NA	WC17003   113,8
WC17-004	WC17004	113	9	DiversityPanel	NA	NA	NA	NA	WC17004   113,9
WC17-007-1	WC170071	116	16	DiversityPanel	NA	NA	NA	NA	WC170071   116,16
WC17-007-7	WC170077	116	18	DiversityPanel	NA	NA	NA	NA	WC170077   116,18
WC17-008-1	WC170081	116	19	DiversityPanel	NA	NA	NA	NA	WC170081   116,19
WC17-013-1	WC170131	117	1	DiversityPanel	NA	NA	NA	NA	WC170131   117,1
WC17-013-5	WC170135	117	2	DiversityPanel	NA	NA	NA	NA	WC170135   117,2
WC17-014-1	WC170141	117	3	DiversityPanel	NA	NA	NA	NA	WC170141   117,3
WC17-020-3	WC170203	117	4	DiversityPanel	NA	NA	NA	NA	WC170203   117,4
WC17-022	WC17022	117	5	DiversityPanel	NA	NA	NA	NA	WC17022   117,5
WC17-023-8	WC170238	117	6	DiversityPanel	NA	NA	NA	NA	WC170238   117,6
WC17-024-1	WC170241	117	7	DiversityPanel	NA	NA	NA	NA	WC170241   117,7
WC17-025-1	WC170251	117	8	DiversityPanel	NA	NA	NA	NA	WC170251   117,8
WC17-025-2	WC170252	117	9	DiversityPanel	NA	NA	NA	NA	WC170252   117,9
WC17-026-3	WC170263	117	10	DiversityPanel	NA	NA	NA	NA	WC170263   117,10
WC17-026-6	WC170266	117	11	DiversityPanel	NA	NA	NA	NA	WC170266   117,11
WC17-027-1	WC170271	117	12	DiversityPanel	NA	NA	NA	NA	WC170271   117,12
WC17-027-2	WC170272	117	13	DiversityPanel	NA	NA	NA	NA	WC170272   117,13
WC17-027-3	WC170273	117	14	DiversityPanel	NA	NA	NA	NA	WC170273   117,14
WC17-027-4	WC170274	117	15	DiversityPanel	NA	NA	NA	NA	WC170274   117,15
WC17-027-5	WC170275	117	16	DiversityPanel	NA	NA	NA	NA	WC170275   117,16
WC17-027-6	WC170276	117	17	DiversityPanel	NA	NA	NA	NA	WC170276   117,17
WC17-027-7	WC170277	117	18	DiversityPanel	NA	NA	NA	NA	WC170277   117,18
WC17-036-1	WC170361	117	19	DiversityPanel	NA	NA	NA	NA	WC170361   117,19
WC17-036-7	WC170367	118	1	DiversityPanel	NA	NA	NA	NA	WC170367   118,1
WC17-037-1	WC170371	118	2	DiversityPanel	NA	NA	NA	NA	WC170371   118,2
WC17-038-1	WC170381	118	3	DiversityPanel	NA	NA	NA	NA	WC170381   118,3
WC17-038-2	WC170382	118	4	DiversityPanel	NA	NA	NA	NA	WC170382   118,4
WC17-039-1	WC170391	118	5	DiversityPanel	NA	NA	NA	NA	WC170391   118,5
WC17-041-1	WC170411	118	7	DiversityPanel	NA	NA	NA	NA	WC170411   118,7
WC17-042-1	WC170421	118	8	DiversityPanel	NA	NA	NA	NA	WC170421   118,8
WC17-043-1	WC170431	118	9	DiversityPanel	NA	NA	NA	NA	WC170431   118,9
WC17-043-8	WC170438	118	10	DiversityPanel	NA	NA	NA	NA	WC170438   118,10
WC17-046-1	WC170461	118	11	DiversityPanel	NA	NA	NA	NA	WC170461   118,11
WC17-046-5	WC170465	118	12	DiversityPanel	NA	NA	NA	NA	WC170465   118,12
WC17-047-1	WC170471	118	13	DiversityPanel	NA	NA	NA	NA	WC170471   118,13
WC17-047-3	WC170473	118	14	DiversityPanel	NA	NA	NA	NA	WC170473   118,14
WC17-047-7	WC170477	118	15	DiversityPanel	NA	NA	NA	NA	WC170477   118,15
WC17-050-3	WC170503	118	16	DiversityPanel	NA	NA	NA	NA	WC170503   118,16
WC17-052-1	WC170521	118	17	DiversityPanel	NA	NA	NA	NA	WC170521   118,17
WC17-052-3	WC170523	118	18	DiversityPanel	NA	NA	NA	NA	WC170523   118,18
WC17-053-3	WC170533	118	19	DiversityPanel	NA	NA	NA	NA	WC170533   118,19
WC17-053-4	WC170534	119	1	DiversityPanel	NA	NA	NA	NA	WC170534   119,1
WC17-057-2	WC170572	119	2	DiversityPanel	NA	NA	NA	NA	WC170572   119,2
WC17-062-1	WC170621	119	3	DiversityPanel	NA	NA	NA	NA	WC170621   119,3
WC17-063	WC17063	119	4	DiversityPanel	NA	NA	NA	NA	WC17063   119,4
WC17-064	WC17064	119	5	DiversityPanel	NA	NA	NA	NA	WC17064   119,5
WC17-065-1	WC170651	119	6	DiversityPanel	NA	NA	NA	NA	WC170651   119,6
WC17-065-2	WC170652	119	7	DiversityPanel	NA	NA	NA	NA	WC170652   119,7
WC17-065-3	WC170653	119	8	DiversityPanel	NA	NA	NA	NA	WC170653   119,8
WC17-070-1	WC170701	119	9	DiversityPanel	NA	NA	NA	NA	WC170701   119,9
WC17-070-7	WC170707	119	10	DiversityPanel	NA	NA	NA	NA	WC170707   119,10
WC17-072-1	WC170721	119	11	DiversityPanel	NA	NA	NA	NA	WC170721   119,11
WC17-074-3	WC170743	119	13	DiversityPanel	NA	NA	NA	NA	WC170743   119,13
WC17-074-5	WC170745	119	14	DiversityPanel	NA	NA	NA	NA	WC170745   119,14
WC17-079-4	WC170794	119	15	DiversityPanel	NA	NA	NA	NA	WC170794   119,15
WC17-081-1	WC170811	119	16	DiversityPanel	NA	NA	NA	NA	WC170811   119,16
WC17-086-1	WC170861	119	17	DiversityPanel	NA	NA	NA	NA	WC170861   119,17
WC17-090-6	WC170906	119	18	DiversityPanel	NA	NA	NA	NA	WC170906   119,18
WC17-099-2	WC170992	119	19	DiversityPanel	NA	NA	NA	NA	WC170992   119,19
Wilcox	Wilcox	107	11	DiversityPanel	NA	NA	NA	NA	Wilcox   107,11
WSU108	WSU108	107	12	DiversityPanel	NA	NA	NA	NA	WSU108   107,12
YBS01	YBS01	107	14	DiversityPanel	NA	NA	NA	NA	YBS01   107,14
YBS02	YBS02	107	15	DiversityPanel	NA	NA	NA	NA	YBS02   107,15
YBS05	YBS05	107	16	DiversityPanel	NA	NA	NA	NA	YBS05   107,16
YBS06	YBS06	107	17	DiversityPanel	NA	NA	NA	NA	YBS06   107,17
YBS07	YBS07	107	18	DiversityPanel	NA	NA	NA	NA	YBS07   107,18
YBS08	YBS08	107	19	DiversityPanel	NA	NA	NA	NA	YBS08   107,19
YBS09	YBS09	108	1	DiversityPanel	NA	NA	NA	NA	YBS09   108,1
YBS10	YBS10	108	2	DiversityPanel	NA	NA	NA	NA	YBS10   108,2
YBS11	YBS11	108	4	DiversityPanel	NA	NA	NA	NA	YBS11   108,4
YBS12	YBS12	108	5	DiversityPanel	NA	NA	NA	NA	YBS12   108,5
YBS13	YBS13	108	6	DiversityPanel	NA	NA	NA	NA	YBS13   108,6
YBS14	YBS14	108	7	DiversityPanel	NA	NA	NA	NA	YBS14   108,7
YBS16	YBS16	108	8	DiversityPanel	NA	NA	NA	NA	YBS16   108,8
YBS17	YBS17	108	9	DiversityPanel	NA	NA	NA	NA	YBS17   108,9
YBS18	YBS18	108	10	DiversityPanel	NA	NA	NA	NA	YBS18   108,10
YBS19	YBS19	108	11	DiversityPanel	NA	NA	NA	NA	YBS19   108,11
YBS20	YBS20	108	12	DiversityPanel	NA	NA	NA	NA	YBS20   108,12
YBS21	YBS21	108	13	DiversityPanel	NA	NA	NA	NA	YBS21   108,13
YBS22	YBS22	108	14	DiversityPanel	NA	NA	NA	NA	YBS22   108,14
YBS23	YBS23	108	15	DiversityPanel	NA	NA	NA	NA	YBS23   108,15
Yellow Bell	YellowBell	107	13	DiversityPanel	NA	NA	NA	NA	YellowBell   107,13
