pH,Rep,Sample_code,Label,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
1,2,119-10,1,0.804,0.114,15/10/24,0,1,2023,0,,Drew
4.5,2,119-16,1,0.778,0.085,15/10/24,0,2,2023,0,,Drew
4.5,1,119-16,1,0.842,0.102,15/10/24,0,2,2023,0,,Drew
1,2,119-16,1,3.798,0.057,15/10/24,0,2,2023,0,,Drew
1,1,119-16,1,3.937,0.061,15/10/24,0,2,2023,0,,Drew
4.5,1,119-3,1,0.629,0.07,14/10/24,0,2,2023,0,,Drew
4.5,2,119-3,1,0.68,0.103,14/10/24,0,2,2023,0,,Drew
1,1,119-3,1,3.886,0.053,14/10/24,0,2,2023,0,,Drew
1,2,119-3,1,3.637,0.096,14/10/24,0,2,2023,0,,Drew
4.5,2,119-5,1,0.453,0.068,11/10/24,0,2,2023,0,,Drew
4.5,1,119-5,1,0.455,0.078,11/10/24,0,2,2023,0,,Drew
1,1,119-5,1,2.487,0.071,11/10/24,0,2,2023,0,,Drew
1,2,119-5,1,2.625,0.097,11/10/24,0,2,2023,0,,Drew
4.5,2,106-16,1,0.169,0.034,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,1,106-16,1,0.217,0.062,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,106-16,1,0.981,0.044,17/10/24,0,2,2023,0,,"Drew, Ree"
1,2,106-16,1,0.932,0.048,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,2,106-7,1,0.196,0.077,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,1,106-7,1,0.295,0.11,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,106-7,1,0.597,0.046,17/10/24,20,1,2023,0,,"Drew, Ree"
1,2,106-7,1,0.612,0.059,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,2,107-16,1,0.219,0.127,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,1,107-16,1,0.23,0.14,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,107-16,1,0.248,0.113,17/10/24,0,2,2023,0,,"Drew, Ree"
1,2,107-16,1,0.272,0.115,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,2,108-10,1,0.119,0.065,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,1,108-10,1,0.151,0.086,17/10/24,20,1,2023,0,,"Drew, Ree"
1,2,108-10,1,0.143,0.064,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,108-10,1,0.169,0.087,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,1,109-7,1,0.182,0.048,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,2,109-7,1,0.164,0.05,17/10/24,20,1,2023,0,,"Drew, Ree"
1,2,109-7,1,0.785,0.044,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,109-7,1,0.912,0.062,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,1,110-13,1,0.246,0.061,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,2,110-13,1,0.218,0.076,17/10/24,20,1,2023,0,,"Drew, Ree"
1,2,110-13,1,1.084,0.074,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,110-13,1,1.456,0.111,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,2,111-10,1,0.32,0.105,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,1,111-10,1,0.391,0.153,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,111-10,1,1.517,0.108,17/10/24,20,1,2023,0,,"Drew, Ree"
1,2,111-10,1,1.723,0.127,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,2,111-16,1,0.137,0.082,17/10/24,20,2,2023,0,,"Drew, Ree"
4.5,1,111-16,1,0.552,0.498,17/10/24,20,2,2023,0,,"Drew, Ree"
1,2,111-16,1,0.116,0.064,17/10/24,20,2,2023,0,,"Drew, Ree"
1,1,111-16,1,0.2,0.119,17/10/24,20,2,2023,0,,"Drew, Ree"
4.5,1,112-16,0,0.057,0.009,17/10/24,20,2,2023,0,,"Drew, Ree"
1,1,112-16,0,1.575,0.063,17/10/24,20,2,2023,0,Only juice for 1 rep,"Drew, Ree"
4.5,1,114-10,1,0.448,0.128,17/10/24,0,1,2023,0,,"Drew, Ree"
4.5,2,114-10,1,0.535,0.163,17/10/24,0,1,2023,0,,"Drew, Ree"
1,2,114-10,1,1.729,0.107,17/10/24,0,1,2023,0,,"Drew, Ree"
1,1,114-10,1,2.385,0.171,17/10/24,0,1,2023,0,,"Drew, Ree"
4.5,2,114-16,1,0.903,0.168,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,1,114-16,1,0.921,0.201,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,114-16,1,3.534,0.154,17/10/24,0,2,2023,0,,"Drew, Ree"
1,2,114-16,1,3.795,0.17,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,1,114-7,1,0.928,0.217,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,2,114-7,1,1.242,0.308,17/10/24,20,1,2023,0,,"Drew, Ree"
1,2,114-7,1,2.939,0.15,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,114-7,1,3.705,0.221,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,1,116-7,1,0.278,0.085,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,2,116-7,1,0.336,0.11,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,116-7,1,1.04,0.075,17/10/24,20,1,2023,0,,"Drew, Ree"
1,2,116-7,1,1.17,0.075,17/10/24,20,1,2023,0,,"Drew, Ree"
4.5,1,117-1,1,0.273,0.076,17/10/24,20,2,2023,0,,"Drew, Ree"
4.5,2,117-1,1,0.254,0.079,17/10/24,20,2,2023,0,,"Drew, Ree"
1,1,117-1,1,1.345,0.083,17/10/24,20,2,2023,0,,"Drew, Ree"
1,2,117-1,1,1.407,0.109,17/10/24,20,2,2023,0,,"Drew, Ree"
4.5,1,118-16,1,0.425,0.073,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,2,118-16,1,0.465,0.076,17/10/24,0,2,2023,0,,"Drew, Ree"
1,2,118-16,1,2.978,0.08,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,118-16,1,2.996,0.7,17/10/24,0,2,2023,0,,"Drew, Ree"
4.5,1,107-7,1,0.374,0.105,19/10/24,20,1,2023,0,,Jessee
4.5,2,107-7,1,0.5,0.143,19/10/24,20,1,2023,0,,Jessee
1,1,107-7,1,1.09,0.09,19/10/24,20,1,2023,0,,Jessee
1,2,107-7,1,1.274,0.107,19/10/24,20,1,2023,0,,Jessee
4.5,2,108-7,1,0.293,0.164,19/10/24,20,1,2023,0,,Jessee
4.5,1,108-7,1,0.286,0.169,19/10/24,20,1,2023,0,,Jessee
1,1,108-7,1,0.432,0.189,19/10/24,20,1,2023,0,,Jessee
1,2,108-7,1,0.525,0.215,19/10/24,20,1,2023,0,,Jessee
4.5,2,108-9,1,0.37,0.186,19/10/24,20,1,2023,0,,Jessee
4.5,1,108-9,1,0.37,0.229,19/10/24,20,1,2023,0,,Jessee
