Sample_name,Row,Col,Population,Sample_id
YBS20,108,12,DiversityPanel,"YBS20 108,12"
YBS21,108,13,DiversityPanel,"YBS21 108,13"
YBS22,108,14,DiversityPanel,"YBS22 108,14"
YBS23,108,15,DiversityPanel,"YBS23 108,15"
CNJ1049,109,5,DiversityPanel,"CNJ1049 109,5"
DP14,109,15,DiversityPanel,"DP14 109,15"
DP17,109,16,DiversityPanel,"DP17 109,16"
MG09,109,1,DiversityPanel,"MG09 109,1"
MG12,109,2,DiversityPanel,"MG12 109,2"
MurphysG,109,4,DiversityPanel,"MurphysG 109,4"
MurphysGA,109,3,DiversityPanel,"MurphysGA 109,3"
QS01,109,6,DiversityPanel,"QS01 109,6"
QS02,109,7,DiversityPanel,"QS02 109,7"
QS03,109,8,DiversityPanel,"QS03 109,8"
QS04,109,10,DiversityPanel,"QS04 109,10"
QS05,109,11,DiversityPanel,"QS05 109,11"
QS06,109,12,DiversityPanel,"QS06 109,12"
QS07,109,13,DiversityPanel,"QS07 109,13"
QS08,109,14,DiversityPanel,"QS08 109,14"
Stevens04,109,9,DiversityPanel,"Stevens04 109,9"
Stevens05,109,19,DiversityPanel,"Stevens05 109,19"
WC12001,109,18,DiversityPanel,"WC12001 109,18"
WC16026,109,17,DiversityPanel,"WC16026 109,17"
Stevens09,110,11,DiversityPanel,"Stevens09 110,11"
Stevens15,110,12,DiversityPanel,"Stevens15 110,12"
WC12-114,110,15,DiversityPanel,"WC12-114 110,15"
WC12006,110,1,DiversityPanel,"WC12006 110,1"
WC12008,110,2,DiversityPanel,"WC12008 110,2"
WC12012,110,3,DiversityPanel,"WC12012 110,3"
WC12014,110,4,DiversityPanel,"WC12014 110,4"
WC12017,110,5,DiversityPanel,"WC12017 110,5"
WC12032,110,6,DiversityPanel,"WC12032 110,6"
WC12090,110,7,DiversityPanel,"WC12090 110,7"
WC12091,110,8,DiversityPanel,"WC12091 110,8"
WC12101,110,9,DiversityPanel,"WC12101 110,9"
WC12104,110,10,DiversityPanel,"WC12104 110,10"
WC12110,110,13,DiversityPanel,"WC12110 110,13"
WC12112,110,14,DiversityPanel,"WC12112 110,14"
WC12131,110,16,DiversityPanel,"WC12131 110,16"
WC12132,110,17,DiversityPanel,"WC12132 110,17"
WC12133,110,18,DiversityPanel,"WC12133 110,18"
WC12153,110,19,DiversityPanel,"WC12153 110,19"
WC121190,111,9,DiversityPanel,"WC121190 111,9"
WC12199,111,1,DiversityPanel,"WC12199 111,1"
WC12221,111,2,DiversityPanel,"WC12221 111,2"
WC12232,111,3,DiversityPanel,"WC12232 111,3"
WC12280,111,4,DiversityPanel,"WC12280 111,4"
WC12288,111,5,DiversityPanel,"WC12288 111,5"
WC12325,111,6,DiversityPanel,"WC12325 111,6"
WC12326,111,7,DiversityPanel,"WC12326 111,7"
WC12332,111,8,DiversityPanel,"WC12332 111,8"
WC16004,111,10,DiversityPanel,"WC16004 111,10"
WC16011,111,11,DiversityPanel,"WC16011 111,11"
WC16014,111,12,DiversityPanel,"WC16014 111,12"
WC16017,111,13,DiversityPanel,"WC16017 111,13"
WC16018,111,14,DiversityPanel,"WC16018 111,14"
WC16023,111,15,DiversityPanel,"WC16023 111,15"
WC16027,111,16,DiversityPanel,"WC16027 111,16"
WC16029,111,17,DiversityPanel,"WC16029 111,17"
WC16034,111,18,DiversityPanel,"WC16034 111,18"
WC16036,111,19,DiversityPanel,"WC16036 111,19"
Stevens03,112,10,DiversityPanel,"Stevens03 112,10"
WC16037,112,1,DiversityPanel,"WC16037 112,1"
WC16040,112,2,DiversityPanel,"WC16040 112,2"
