Sample_name,Row,Col,Harvest,Harvest_year,Population,Sample_id,Fruit_n,Total_weight,Avg_weight,Date,Notes
A41SX3,113,10,1,2024,Diversity Panel,"A41SX3  113,10",45,68.64,1.52533333,24/09/24,
A41SX8,113,11,1,2024,Diversity Panel,"A41SX8  113,11",2,1.93,0.965,24/09/24,
D8S,113,12,1,2024,Diversity Panel,"D8S  113,12",47,94.83,2.01765957,24/09/24,
BL03,113,13,1,2024,Diversity Panel,"BL03  113,13",29,44.28,1.52689655,24/09/24,
Stevens13,113,14,1,2024,Diversity Panel,"Stevens13  113,14",43,97.66,2.27116279,24/09/24,
BL04,113,15,1,2024,Diversity Panel,"BL04  113,15",41,70.25,1.71341463,24/09/24,
BL05,113,16,1,2024,Diversity Panel,"BL05  113,16",42,65.9,1.56904762,24/09/24,
BL09,113,17,1,2024,Diversity Panel,"BL09  113,17",29,35.66,1.22965517,24/09/24,
BL10,113,18,1,2024,Diversity Panel,"BL10  113,18",28,37.45,1.3375,24/09/24,
BL14,113,19,1,2024,Diversity Panel,"BL14  113,19",25,37.9,1.516,24/09/24,
WC16071,113,2,1,2024,Diversity Panel,"WC16071  113,2",41,74.89,1.82658537,24/09/24,Strange shape.
WC16072,113,3,1,2024,Diversity Panel,"WC16072  113,3",45,86.57,1.92377778,24/09/24,
WC16073,113,4,1,2024,Diversity Panel,"WC16073  113,4",40,50.46,1.2615,24/09/24,
Stevens11,113,5,1,2024,Diversity Panel,"Stevens11  113,5",52,116.58,2.24192308,24/09/24,
WC17001,113,6,1,2024,Diversity Panel,"WC17001  113,6",35,54.61,1.56028571,24/09/24,
WC17002,113,7,1,2024,Diversity Panel,"WC17002  113,7",52,81.44,1.56615385,24/09/24,
WC17003,113,8,1,2024,Diversity Panel,"WC17003  113,8",51,91.22,1.78862745,24/09/24,
WC17004,113,9,1,2024,Diversity Panel,"WC17004  113,9",46,66.72,1.45043478,24/09/24,
BL18,114,1,1,2024,Diversity Panel,"BL18  114,1",51,59,1.15686275,25/09/24,
Chip17,114,10,1,2024,Diversity Panel,"Chip17  114,10",52,65.69,1.26326923,25/09/24,
FRLK12,114,11,1,2024,Diversity Panel,"FRLK12  114,11",52,53.48,1.02846154,25/09/24,
GYPL17,114,12,1,2024,Diversity Panel,"GYPL17  114,12",66,62.46,0.94636364,25/09/24,
GYPL18,114,13,1,2024,Diversity Panel,"GYPL18  114,13",23,27.27,1.18565217,25/09/24,
GYPL19,114,14,1,2024,Diversity Panel,"GYPL19  114,14",18,18.52,1.02888889,25/09/24,
GYPL28,114,15,1,2024,Diversity Panel,"GYPL28  114,15",50,36.86,0.7372,25/09/24,
GYPL31,114,16,1,2024,Diversity Panel,"GYPL31  114,16",89,59.61,0.66977528,25/09/24,
GYPL32,114,17,1,2024,Diversity Panel,"GYPL32  114,17",37,21.53,0.58189189,25/09/24,Muy pequena
HAWL05,114,18,1,2024,Diversity Panel,"HAWL05  114,18",43,31.36,0.72930233,25/09/24,
HW05,114,19,1,2024,Diversity Panel,"HW05  114,19",41,36.93,0.90073171,25/09/24,
BL19,114,2,1,2024,Diversity Panel,"BL19  114,2",64,67.67,1.05734375,25/09/24,
BLM01,114,3,1,2024,Diversity Panel,"BLM01  114,3",2,2.04,1.02,25/09/24,luce enfermo
Chip01,114,4,1,2024,Diversity Panel,"Chip01  114,4",64,69.55,1.08671875,25/09/24,
Chip03,114,5,1,2024,Diversity Panel,"Chip03  114,5",62,69.9,1.12741936,25/09/24,
Chip05,114,6,1,2024,Diversity Panel,"Chip05  114,6",66,94.61,1.43348485,25/09/24,
Chip07,114,7,1,2024,Diversity Panel,"Chip07  114,7",45,59.79,1.32866667,25/09/24,
Chip08,114,8,1,2024,Diversity Panel,"Chip08  114,8",41,59.35,1.44756098,25/09/24,
Chip10,114,9,1,2024,Diversity Panel,"Chip10  114,9",50,65.82,1.3164,25/09/24,
