"","RAPiD Genomics Sample Code","Unique Client Code"
"328","VAC_155005_P004_WD03","ST x BL8-14"
"329","VAC_155005_P004_WD04","ST x BL8-22"
"330","VAC_155005_P004_WD05","ST x BL8-30"
"331","VAC_155005_P004_WD06","ST x BL8-38"
"332","VAC_155005_P004_WD07","ST x BL8-46"
"333","VAC_155005_P004_WD08","ST x BL8-54"
"334","VAC_155005_P004_WD09","CNJ05-34-40"
"335","VAC_155005_P004_WD10","CNJ08-233-1"
"336","VAC_155005_P004_WD11","CNJ12-56-31"
"337","VAC_155005_P004_WD12","CNJ12-56-50"
"338","VAC_155005_P004_WE01","Cranzilla-12"
"339","VAC_155005_P004_WE02","ST x BL8-07"
"340","VAC_155005_P004_WE03","ST x BL8-15"
"341","VAC_155005_P004_WE04","ST x BL8-23"
"342","VAC_155005_P004_WE05","ST x BL8-31"
"343","VAC_155005_P004_WE06","ST x BL8-39"
"344","VAC_155005_P004_WE07","ST x BL8-47"
"345","VAC_155005_P004_WE08","ST x BL8-55"
"346","VAC_155005_P004_WE09","CNJ12-56-02"
"347","VAC_155005_P004_WE10","CNJ12-56-13"
"348","VAC_155005_P004_WE11","CNJ08-233-54"
"349","VAC_155005_P004_WE12","CNJ12-56-51"
"350","VAC_155005_P004_WF01","HyRed x WSU108-1"
"351","VAC_155005_P004_WF02","ST x BL8-08"
"352","VAC_155005_P004_WF03","ST x BL8-16"
"353","VAC_155005_P004_WF04","ST x BL8-24"
"354","VAC_155005_P004_WF05","ST x BL8-32"
"355","VAC_155005_P004_WF06","ST x BL8-40"
"356","VAC_155005_P004_WF07","ST x BL8-48"
"357","VAC_155005_P004_WF08","ST x BL8-56"
"358","VAC_155005_P004_WF09","CNJ12-56-04"
"359","VAC_155005_P004_WF10","CNJ12-56-14"
"360","VAC_155005_P004_WF11","CNJ08-233-35"
"361","VAC_155005_P004_WF12","CNJ12-56-52"
"362","VAC_155005_P004_WG01","ST x BL8-01"
"363","VAC_155005_P004_WG02","ST x BL8-09"
"364","VAC_155005_P004_WG03","ST x BL8-17"
"365","VAC_155005_P004_WG04","ST x BL8-25"
"366","VAC_155005_P004_WG05","ST x BL8-33"
"367","VAC_155005_P004_WG06","ST x BL8-41"
"368","VAC_155005_P004_WG07","ST x BL8-49"
"369","VAC_155005_P004_WG08","ST x BL8-58"
"370","VAC_155005_P004_WG09","CNJ12-56-05"
"371","VAC_155005_P004_WG10","CNJ12-56-17"
