Code,ID,Experiment,Genotyped
VAC_155005_P003_WE04,WC17-041-1,Diversity panel,Yes
VAC_155005_P003_WE05,WC17-047-7,Diversity panel,Yes
VAC_155005_P003_WE06,WC17-063,Diversity panel,Yes
VAC_155005_P003_WE07,WC17-074-3,Diversity panel,Yes
VAC_155005_P003_WE08,WC12-326,Diversity panel,Yes
VAC_155005_P003_WE09,BLS210,NA,NA
VAC_155005_P003_WE10,#35 x WSU108-02,NA,NA
VAC_155005_P003_WE11,#35 x WSU108-10,NA,NA
VAC_155005_P003_WE12,Cranzilla-06,NA,NA
VAC_155005_P003_WF01,WC17-013-5,Diversity panel,Yes
VAC_155005_P003_WF02,WC17-026-3,Diversity panel,Yes
VAC_155005_P003_WF03,WC17-027-7,Diversity panel,Yes
VAC_155005_P003_WF04,WC17-042-1,Diversity panel,Yes
VAC_155005_P003_WF05,WC17-050-3,Diversity panel,Yes
VAC_155005_P003_WF06,WC17-064,Diversity panel,Yes
VAC_155005_P003_WF07,WC17-074-5,Diversity panel,Yes
VAC_155005_P003_WF08,WABL06,Diversity panel,Yes
VAC_155005_P003_WF09,BLS211,NA,NA
VAC_155005_P003_WF10,#35 x WSU108-03,NA,NA
VAC_155005_P003_WF11,#35 x WSU108-11,NA,NA
VAC_155005_P003_WF12,Cranzilla-07,NA,NA
VAC_155005_P003_WG01,WC17-014-1,Diversity panel,Yes
VAC_155005_P003_WG02,WC17-026-6,Diversity panel,Yes
VAC_155005_P003_WG03,WC17-036-1,Diversity panel,Yes
VAC_155005_P003_WG04,WC17-043-1,Diversity panel,Yes
VAC_155005_P003_WG05,WC17-052-1,Diversity panel,Yes
VAC_155005_P003_WG06,WC17-065-1,Diversity panel,Yes
VAC_155005_P003_WG07,WC17-079-4,Diversity panel,Yes
VAC_155005_P003_WG08,WABL11,Diversity panel,Yes
VAC_155005_P003_WG09,PGS108,NA,NA
VAC_155005_P003_WG10,#35 x WSU108-04,NA,NA
VAC_155005_P003_WG11,#35 x WSU108-12,NA,NA
VAC_155005_P003_WH01,WC17-020-3,Diversity panel,Yes
VAC_155005_P003_WH02,WC17-027-1,Diversity panel,Yes
VAC_155005_P003_WH03,WC17-036-7,Diversity panel,Yes
VAC_155005_P003_WH04,WC17-043-8,Diversity panel,Yes
VAC_155005_P003_WH05,WC17-052-3,Diversity panel,Yes
VAC_155005_P003_WH06,WC17-065-2,Diversity panel,Yes
VAC_155005_P003_WH07,WC17-081-1,Diversity panel,Yes
VAC_155005_P003_WH08,A4S109,NA,NA
VAC_155005_P003_WH09,#35 x HyRed-01,NA,NA
VAC_155005_P003_WH10,#35 x WSU108-05,NA,NA
VAC_155005_P003_WH11,Cranzilla-01,NA,NA
VAC_155005_P004_WA01,Cranzilla-08,NA,NA
VAC_155005_P004_WA02,ST x BL8-03,NA,NA
VAC_155005_P004_WA03,ST x BL8-11,NA,NA
VAC_155005_P004_WA04,ST x BL8-19,NA,NA
VAC_155005_P004_WA05,ST x BL8-27,NA,NA
VAC_155005_P004_WA06,ST x BL8-35,NA,NA
VAC_155005_P004_WA07,ST x BL8-43,NA,NA
VAC_155005_P004_WA08,ST x BL8-51,NA,NA
VAC_155005_P004_WA09,BL05-1-2,NA,NA
VAC_155005_P004_WA10,CNJ12-56-07,Color panel,Yes
VAC_155005_P004_WA11,CNJ08-233-12,Color panel,Yes
VAC_155005_P004_WA12,CNJ12-56-43,Color panel,Yes
VAC_155005_P004_WB01,Cranzilla-09,NA,NA
VAC_155005_P004_WB02,ST x BL8-04,NA,NA
VAC_155005_P004_WB03,ST x BL8-12,NA,NA
VAC_155005_P004_WB04,ST x BL8-20,NA,NA
VAC_155005_P004_WB05,ST x BL8-28,NA,NA
VAC_155005_P004_WB06,ST x BL8-36,NA,NA
VAC_155005_P004_WB07,ST x BL8-44,NA,NA
VAC_155005_P004_WB08,ST x BL8-52,NA,NA
VAC_155005_P004_WB09,WC12-101,Diversity panel,Yes
VAC_155005_P004_WB10,CNJ08-233-47,Color panel,Yes
VAC_155005_P004_WB11,CNJ08-233-15,Color panel,Yes
VAC_155005_P004_WB12,CNJ08-233-46,Color panel,Yes
VAC_155005_P004_WC01,Cranzilla-10,NA,NA
VAC_155005_P004_WC02,ST x BL8-05,NA,NA
VAC_155005_P004_WC03,ST x BL8-13,NA,NA
VAC_155005_P004_WC04,ST x BL8-21,NA,NA
VAC_155005_P004_WC05,ST x BL8-29,NA,NA
VAC_155005_P004_WC06,ST x BL8-37,NA,NA
VAC_155005_P004_WC07,ST x BL8-45,NA,NA
VAC_155005_P004_WC08,ST x BL8-53,NA,NA
VAC_155005_P004_WC09,WC12-280B,NA,NA
VAC_155005_P004_WC10,CNJ04-23-9,Color panel,Yes
VAC_155005_P004_WC11,CNJ08-233-62,Color panel,Yes
VAC_155005_P004_WC12,CNJ08-233-81,Color panel,Yes
VAC_155005_P004_WD01,Cranzilla-11,NA,NA
VAC_155005_P004_WD02,ST x BL8-06,NA,NA
VAC_155005_P004_WD03,ST x BL8-14,NA,NA
VAC_155005_P004_WD04,ST x BL8-22,NA,NA
VAC_155005_P004_WD05,ST x BL8-30,NA,NA
VAC_155005_P004_WD06,ST x BL8-38,NA,NA
VAC_155005_P004_WD07,ST x BL8-46,NA,NA
VAC_155005_P004_WD08,ST x BL8-54,NA,NA
VAC_155005_P004_WD09,CNJ05-34-40,Color panel,Yes
VAC_155005_P004_WD10,CNJ08-233-1,Color panel,Yes
VAC_155005_P004_WD11,CNJ12-56-31,Color panel,Yes
VAC_155005_P004_WD12,CNJ12-56-50,Color panel,Yes
VAC_155005_P004_WE01,Cranzilla-12,NA,NA
VAC_155005_P004_WE02,ST x BL8-07,NA,NA
VAC_155005_P004_WE03,ST x BL8-15,NA,NA
VAC_155005_P004_WE04,ST x BL8-23,NA,NA
VAC_155005_P004_WE05,ST x BL8-31,NA,NA
VAC_155005_P004_WE06,ST x BL8-39,NA,NA
VAC_155005_P004_WE07,ST x BL8-47,NA,NA
VAC_155005_P004_WE08,ST x BL8-55,NA,NA
VAC_155005_P004_WE09,CNJ12-56-02,Color panel,Yes
VAC_155005_P004_WE10,CNJ12-56-13,Color panel,Yes
VAC_155005_P004_WE11,CNJ08-233-54,Color panel,Yes
VAC_155005_P004_WE12,CNJ12-56-51,Color panel,Yes
VAC_155005_P004_WF01,HyRed x WSU108-1,NA,NA
VAC_155005_P004_WF02,ST x BL8-08,NA,NA
VAC_155005_P004_WF03,ST x BL8-16,NA,NA
VAC_155005_P004_WF04,ST x BL8-24,NA,NA
VAC_155005_P004_WF05,ST x BL8-32,NA,NA
VAC_155005_P004_WF06,ST x BL8-40,NA,NA
VAC_155005_P004_WF07,ST x BL8-48,NA,NA
VAC_155005_P004_WF08,ST x BL8-56,NA,NA
VAC_155005_P004_WF09,CNJ12-56-04,Color panel,Yes
VAC_155005_P004_WF10,CNJ12-56-14,Color panel,Yes
VAC_155005_P004_WF11,CNJ08-233-35,Color panel,Yes
VAC_155005_P004_WF12,CNJ12-56-52,Color panel,Yes
VAC_155005_P004_WG01,ST x BL8-01,NA,NA
VAC_155005_P004_WG02,ST x BL8-09,NA,NA
VAC_155005_P004_WG03,ST x BL8-17,NA,NA
VAC_155005_P004_WG04,ST x BL8-25,NA,NA
VAC_155005_P004_WG05,ST x BL8-33,NA,NA
VAC_155005_P004_WG06,ST x BL8-41,NA,NA
VAC_155005_P004_WG07,ST x BL8-49,NA,NA
VAC_155005_P004_WG08,ST x BL8-58,NA,NA
VAC_155005_P004_WG09,CNJ12-56-05,Color panel,Yes
VAC_155005_P004_WG10,CNJ12-56-17,Color panel,Yes
VAC_155005_P004_WG11,CNJ08-233-57,Color panel,Yes
VAC_155005_P004_WH01,ST x BL8-02,NA,NA
VAC_155005_P004_WH02,ST x BL8-10,NA,NA
VAC_155005_P004_WH03,ST x BL8-18,NA,NA
VAC_155005_P004_WH04,ST x BL8-26,NA,NA
VAC_155005_P004_WH05,ST x BL8-34,NA,NA
VAC_155005_P004_WH06,ST x BL8-42,NA,NA
VAC_155005_P004_WH07,ST x BL8-50,NA,NA
VAC_155005_P004_WH08,BL05-1-1,NA,NA
VAC_155005_P004_WH09,CNJ12-56-06,Color panel,Yes
VAC_155005_P004_WH10,CNJ08-233-38,Color panel,Yes
VAC_155005_P004_WH11,CNJ08-233-58,Color panel,Yes
VAC_155005_P005_WA01,CNJ12-56-54,Color panel,Yes
VAC_155005_P005_WA02,CNJ12-56-68,Color panel,Yes
VAC_155005_P005_WA03,CNJ12-56-102,Color panel,Yes
VAC_155005_P005_WA04,CNJ08-233-41,Color panel,Yes
VAC_155005_P005_WA05,CNJ12-56-137,Color panel,Yes
VAC_155005_P005_WA06,CNJ12-56-148,Color panel,Yes
VAC_155005_P005_WA07,CNJ08-233-36,Color panel,Yes
VAC_155005_P005_WA08,CNJ08-233-79,Color panel,Yes
VAC_155005_P005_WA09,CNJ12-56-200,Color panel,Yes
VAC_155005_P005_WA10,CNJ12-58-09,Color panel,Yes
VAC_155005_P005_WA11,CNJ12-58-20,Color panel,Yes
VAC_155005_P005_WA12,CNJ12-58-28,Color panel,Yes
VAC_155005_P005_WB01,CNJ04-23-7,Color panel,Yes
VAC_155005_P005_WB02,CNJ08-233-69,Color panel,Yes
VAC_155005_P005_WB03,CNJ12-56-105,Color panel,Yes
VAC_155005_P005_WB04,CNJ08-233-24,Color panel,Yes
VAC_155005_P005_WB05,CNJ12-56-139,Color panel,Yes
VAC_155005_P005_WB06,CNJ12-56-150,Color panel,Yes
VAC_155005_P005_WB07,CNJ12-56-172,Color panel,Yes
VAC_155005_P005_WB08,CNJ12-56-190,Color panel,Yes
VAC_155005_P005_WB09,CNJ12-56-202,Color panel,Yes
VAC_155005_P005_WB10,CNJ12-58-10,Color panel,Yes
VAC_155005_P005_WB11,CNJ12-58-21,Color panel,Yes
VAC_155005_P005_WB12,CNJ12-58-29,Color panel,Yes
VAC_155005_P005_WC01,CNJ12-56-56,Color panel,Yes
VAC_155005_P005_WC02,CNJ12-56-71,Color panel,Yes
VAC_155005_P005_WC03,CNJ12-56-106,Color panel,Yes
VAC_155005_P005_WC04,CNJ08-233-26,Color panel,Yes
VAC_155005_P005_WC05,CNJ12-56-141,Color panel,Yes
VAC_155005_P005_WC06,CNJ12-56-153,Color panel,Yes
